id,training_id,player_id,attended
1,2,2,1
2,2,7,1
3,2,10,1
4,2,15,1
5,2,16,1
6,2,17,1
7,2,18,1
8,3,3,1
9,3,2,1
10,3,6,1
11,3,8,1
12,3,9,1
13,3,10,1
14,3,15,1
15,3,18,1
16,1,2,1
17,1,6,1
18,1,7,1
19,1,11,1
20,1,13,1
21,1,16,1
22,1,17,1
23,1,18,1
24,1,19,1
